fragment_ID,species,date,time,site,depth_m,temp_C,collector,old_tag,intake_reflectance?,status,status_date,tank,treatment,sample_time,notes
ftlb1-ssid05-03232026,ssid,2026-03-23,0.61458333333333337,BAR,8.6999999999999993,25,NIR,FTLB1-5,NA,H,2026-05-26T00:00:00Z,8,+4C,T1,two frags on plug from same colony
ftlb2-ssid10-03222026,ssid,2026-03-22,0.62013888888888891,BAR,7.2,24,HML,FTLB2-10,NA,H,2026-05-26T00:00:00Z,2,control,T1,NA
ftlb1-ssid12-03232026,ssid,2026-03-23,0.61458333333333337,BAR,9.6999999999999993,25,HML,FTLB1-11,NA,H,2026-05-26T00:00:00Z,6,+2C,T3,NA
ftlb1-ssid08-03232026,ssid,2026-03-23,0.61805555555555558,BAR,7.6,25,NIR,FTLB1-8N,NA,H,2026-05-26T00:00:00Z,10,control,T4,NA
ftlb1-ssid10-03232026,ssid,2026-03-23,0.61527777777777781,BAR,9.8000000000000007,25,HML,FTLB1-9,NA,H,2026-05-26T00:00:00Z,7,control,T2,NA
ftlb2-ssid03-03222026,ssid,2026-03-22,na,BAR,7.1,24,NIR,FTLB2-3,NA,H,2026-05-26T00:00:00Z,3,+2C,T3,NA
ftlb2-ssid17-03222026,ssid,2026-03-22,0.63402777777777775,BAR,9.1,24,HML,FTLB2-17,NA,H,2026-05-26T00:00:00Z,4,+4C,T5,NA
cave-ssid05-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.8,26,NIR,na,NA,H,2026-05-26T00:00:00Z,9,+2C,T2,NA
cave-ssid22-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.6,25,HML,na,NA,H,2026-05-26T00:00:00Z,1,+4C,T5,NA
cave-ssid19-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.9,26,NIR,na,NA,H,2026-05-26T00:00:00Z,8,+4C,T3,NA
cave-ssid25-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.2,25,HML,na,NA,H,2026-05-26T00:00:00Z,11,+4C,T4,NA
cave-ssid20-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.8,26,NIR,na,NA,H,2026-05-26T00:00:00Z,7,control,T1,NA
cave-ssid29-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.7,26,NIR,na,NA,D,2026-05-26T00:00:00Z,7,control,T5,NA
cave-ssid14-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8.1,25,HML,na,NA,H,2026-05-26T00:00:00Z,2,control,T4,"partially bleached, under ledge when collected"
cave-ssid23-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.4,25,HML,na,NA,H,2026-05-26T00:00:00Z,4,+4C,T1,NA
cave-ssid03-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8.1,26,NIR,na,NA,P,2026-05-26T00:00:00Z,3,+2C,T3,NA
cave-ssid08-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.8,26,NIR,na,NA,H,2026-05-26T00:00:00Z,10,control,T2,NA
cave-ssid16-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.4,25,HML,na,NA,H,2026-05-26T00:00:00Z,5,control,T2,NA
cave-ssid12-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.8,26,NIR,na,NA,H,2026-05-26T00:00:00Z,10,control,T4,NA
cave-ssid24-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.8,26,NIR,na,NA,PB,2026-05-26T00:00:00Z,3,+2C,T1,NA
cave-ssid27-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.3,25,HML,na,NA,H,2026-05-26T00:00:00Z,6,+2C,T5,NA
cave-ssid18-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8.1999999999999993,26,NIR,na,NA,H,2026-05-26T00:00:00Z,12,+2C,T4,NA
cave-ssid13-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.8,25,HML,na,NA,H,2026-05-26T00:00:00Z,3,+2C,T3,NA
cave-ssid07-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8.1999999999999993,25,HML,na,NA,H,2026-05-26T00:00:00Z,9,+2C,T5,NA
cave-ssid17-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.9,26,NIR,na,NA,H,2026-05-26T00:00:00Z,1,+4C,T3,NA
cave-ssid26-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8,26,NIR,na,NA,H,2026-05-26T00:00:00Z,1,+4C,T1,NA
cave-ssid06-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8.1999999999999993,25,HML,na,NA,H,2026-05-26T00:00:00Z,11,+4C,T2,NA
cave-ssid10-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.6,25,HML,na,NA,H,2026-05-26T00:00:00Z,12,+2C,T4,NA
cave-ssid30-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.9,25,HML,na,NA,H,2026-05-26T00:00:00Z,6,+2C,T1,NA
