"fragment_ID","species","date","time","site","depth_m","temp_C","collector","old_tag","intake_reflectance?","status","status_date","tank","treatment","sample timepoint","notes"
"cave-ssid25-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.2","25","HML","na",NA,"H",2026-05-26,10,"control","TP2",NA
"cave-ssid23-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.4","25","HML","na",NA,"H",2026-05-26,4,"+4C","TP1",NA
"cave-ssid24-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.8","26","NIR","na",NA,"PB",2026-05-26,12,"+2C","TP5",NA
"cave-ssid01-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","8.1","26","NIR","na",NA,"H",2026-05-26,7,"control","TP3",NA
"cave-ssid11-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.2","25","HML","na",NA,"H",2026-05-26,11,"+4C","TP1",NA
"cave-ssid29-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.7","26","NIR","na",NA,"D",2026-05-26,5,"control","TP1",NA
"DB-sid15-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,3,"+2C","TP1",NA
"DB-sid35-051426","ssid",2026-05-14,"na","Dania","9.1","27","ROS","na",NA,"P",2026-05-26,8,"+4C","TP1",NA
"DB-sid16-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"H",2026-05-26,2,"control","TP1",NA
"DB-sid37-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,11,"+4C","TP1",NA
"DB-sid18-051426","ssid",2026-05-14,"na","Dania","9","27","HML","na",NA,"P",2026-05-26,10,"control","TP1",NA
"DB-sid30-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,7,"control","TP4",NA
"DB-sid11-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"H",2026-05-26,12,"+2C","TP3",NA
"DB-sid38-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"H",2026-05-26,1,"+4C","TP2",NA
"DB-sid27-051426","ssid",2026-05-14,"na","Dania","9.1","27","HML","na",NA,"P",2026-05-26,9,"+2C","TP2",NA
"DB-sid14-051426","ssid",2026-05-14,"na","Dania","9.1","27","HML","na",NA,"P",2026-05-26,5,"control","TP4",NA
"DB-sid06-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,4,"+4C","TP3",NA
"DB-sid20-051426","ssid",2026-05-14,"na","Dania","9","27","HML","na",NA,"H",2026-05-26,3,"+2C","TP3",NA
"DB-sid24-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,8,"+4C","TP4",NA
"DB-sid12-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"H",2026-05-26,2,"control","TP4",NA
"DB-sid33-051426","ssid",2026-05-14,"na","Dania","9","27","HML","na",NA,"P",2026-05-26,11,"+4C","TP4",NA
"DB-sid21-051426","ssid",2026-05-14,"na","Dania","9","27","HML","na",NA,"P",2026-05-26,10,"control","TP2",NA
"DB-sid28-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"H",2026-05-26,7,"control","TP1",NA
"DB-sid17-051426","ssid",2026-05-14,"na","Dania","8.8000000000000007","27","HML","na",NA,"P",2026-05-26,6,"+2C","TP5",NA
"DB-sid25-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"H",2026-05-26,12,"+2C","TP2",NA
"DB-sid02-051426","ssid",2026-05-14,"na","Dania","9.1","27","HML","na",NA,"H",2026-05-26,1,"+4C","TP1",NA
"DB-sid07-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,9,"+2C","TP3",NA
"DB-sid19-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,5,"control","TP3",NA
"DB-sid08-051426","ssid",2026-05-14,"na","Dania","8.8000000000000007","27","HML","na",NA,"H",2026-05-26,4,"+4C","TP3",NA
"DB-sid26-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,3,"+2C","TP5",NA
"DB-sid31-051426","ssid",2026-05-14,"na","Dania","9.1","27","HML","na",NA,"H",2026-05-26,8,"+4C","TP2",NA
"DB-sid01-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,2,"control","TP4",NA
"DB-sid22-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,11,"+4C","TP4",NA
"DB-sid29-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"H",2026-05-26,10,"control","TP5",NA
"DB-sid09-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"H",2026-05-26,7,"control","TP2",NA
"DB-sid03-051426","ssid",2026-05-14,"na","Dania","9.1","27","HML","na",NA,"P",2026-05-26,6,"+2C","TP5",NA
"DB-sid23-051426","ssid",2026-05-14,"na","Dania","9.1","27","HML","na",NA,"PP",2026-05-26,12,"+2C","TP5",NA
"DB-sid04-051426","ssid",2026-05-14,"na","Dania","na","27","ROS","na",NA,"P",2026-05-26,1,"+4C","TP5",NA
"DB-sid05-051426","ssid",2026-05-14,"na","Dania","9.1","27","HML","na",NA,"P",2026-05-26,9,"+2C","TP2",NA
"EMERALD-sid24-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","VRR","na",NA,"P",2026-05-26,3,"+2C","TP3",NA
"EMERALD-sid30-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","VRR","na",NA,"P",2026-05-26,2,"control","TP5",NA
"EMERALD-sid29-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","VRR","na",NA,"P",2026-05-26,10,"control","TP5",NA
"EMERALD-sid02-052026","ssid",2026-05-20,"na","Emerald Reef",NA,"28",NA,"na",NA,"P",2026-05-26,1,"+4C","TP3",NA
"EMERALD-sid13-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","HML","na",NA,"P",2026-05-26,7,"control","TP5",NA
"EMERALD-sid14-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","HML","na",NA,"P",2026-05-26,11,"+4C","TP2",NA
"EMERALD-sid09-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","HML","na",NA,"P",2026-05-26,9,"+2C","TP4",NA
"EMERALD-sid28-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","VRR","na",NA,"P",2026-05-26,8,"+4C","TP2",NA
"EMERALD-sid10-052026","ssid",2026-05-20,"na","Emerald Reef","8","28","HML","na",NA,"P",2026-05-26,12,"+2C","TP2",NA
"EMERALD-sid33-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","VRR","na",NA,"P",2026-05-26,5,"control","TP2",NA
"EMERALD-sid17-052026","ssid",2026-05-20,"na","Emerald Reef","8","28","HML","na",NA,"P",2026-05-26,4,"+4C","TP5",NA
"EMERALD-sid18-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","VRR","na",NA,"H",2026-05-26,3,"+2C","TP1","tissue loss during collection"
"EMERALD-sid01-052026","ssid",2026-05-20,"na","Emerald Reef","7.7","28","HML","na",NA,"P",2026-05-26,2,"control","TP1",NA
"EMERALD-sid37-052026","ssid",2026-05-20,"na","Emerald Reef","7.8","28","HML","na",NA,"P",2026-05-26,10,"control","TP1",NA
"EMERALD-sid22-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","VRR","na",NA,"P",2026-05-26,1,"+4C","TP1",NA
"EMERALD-sid21-052026","ssid",2026-05-20,"na","Emerald Reef","7.3","28","VRR","na",NA,"H",2026-05-26,7,"control","TP4",NA
"EMERALD-sid11-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","HML","na",NA,"P",2026-05-26,11,"+4C","TP3",NA
"EMERALD-sid25-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","VRR","na",NA,"P",2026-05-26,9,"+2C","TP1",NA
